id,document,label
16194044,"제발 한국영화랑 비교하지 마세요. 재미로 보는 영화, 상상력으로 보는 영화, 배우때문에 보는 영화 , 취향은 저마다 다릅니다. ",1
16194043,류승범보러갔다가스토리에실망 ,1
16194042,태어나서 처음으로 평 씁니다. 진짜 그냥 없습니다. 모가요? 재미도 감동도 스토리도 아무것도 없어요. 아니 그냥 없어요. 앞으로는 있을거냐고요? 아뇨 없다구요 ,0
16194041,다필요없고 자녀가 있으신분들은 완전강추.깨달은게 많고 제인생과 제생각을 다시한번더 성숙하게만들게해준 영화ㅠㅠ솔직 처음에는 지루하나 후반부터 펑펑 울었어요. 저는 스릴러 반전 범죄 영화좋아하는 사람이지만 이거보고 내가왜 지금까지 이렇게살았지...ㅠㅠ ,1
16194040,처음부터끝까지 잔잔하다 나는 졸지 않으려 했으나 이기지 못했다 이걸 보고 안잤다면 정말 대단하다.. ,0
16194039,중간은 가는 영화 폭력써클 맘에 안듦 ,1
16194038,악마가 너무 대놓고 물리력을 쓰며 살인하네 요괴냐! ,0
16194036,이 영화 밤에 보고 집에 왔는데 길고양이 보고도 놀랬다 진짜 무섭고 영화 좋았다 강동원느님이 젤 좋았지만ㅋ 박소담 진짜 무서웠어ㅜㅜ ,1
16194035,영화 제목이 왜 '안녕  베일리'인지.. 결말을 보면 알 수 있어요.. 아 감동... ㅠㅠ ,1
16194034,액션신 기대하고 보시는거면 안 보시는걸 추천 드려요 저는 끝까지 보긴 했는데 보다가 졸려 죽는줄 알았음 ,0
16194033,아무생각없이 봤다가!현실적인고 감동 또한 생겼네요방사능의 위험에 대해서 다시 한번 생각 할수있고마지막 장면에서 눈물샘폭팔이네용 ,1
16194032,응답하라 시리즈보는게  1000배  낫습니다감독은 대체뭐지 하는 생각을  처음했습니다 ,0
16194031,음악이 계속 귓가에 멤도는 ,1
16194030,진짜 너무 억지스럽고 재미없던데 ㅠㅜ ,0
16194029,그냥 그렇습니다.. 조금 슬프네요 ,1
16194028,김무열 연기 왜이렇게 오바함??? 전혀 자연스럽지 못하고 억지연기 진짜 별로다 마동석이 정말 연기 잘하는 사람이네 비교된다 ,0
16194026,탕웨이 눈빛 만으로 10점 ,1
16194025,"개인의 일상을 충실히 보여 주는 것으로  한 세대를 구현하는 일, 훌륭한 영화 ",1
16194024,평점 조작같다. 그냥그냥 평범한 스파이더맨의 사랑이야기. ,0
16194023,다음편이 맨인블랙인가요?? ,0
16194022,개취라지만 소문난 잔치에 먹을게 없네. ,0
16194021,뭔가 애매함..남자배우만 좀 바꿨으면 더완벽했을텐데.. ,1
16194020,나도 재미는 없었지만... 여기서 재미없다고 하는 사람들에게 몰상식한 폭언과 비아냥을 남기는 작자들은 도대체 뭘까? 대체 왜 영화를 보는걸까? 영화 속 악역이 바로 그들 자신의 모습이다. 그것을 자기들만 모른다. ,1
16194019,이거 이재명 모델로 만든영화네 ,1
16194018,너무 극과 극인 평인데 ?뭐지? ,1
16194016,역사를 알린다는 점에서 높은 점수를 주고 싶지만 직품성이 너무 없네요 ,0
16194015,"편하고 재미있게 볼수있는 영화인거 같아요 ! 드라마 원작느낌은 있으나 다른부분이 더많았고  강예원,김상중 간암 스토리는 후편을위한 떡밥인거같은데.. 왜 이해못하는지..탈옥범들이 주요인물인줄 알았는데..너무쉽게..그래도 다들연기잘하고 김아중존예 ;; ",1
16194014,장면 하나하나는 아름다우나 개연성이 1도 없음. 로맨스인데 여주 남주에게 감정이입이 안되는 말도 안되는 영화. 내가 보자고 했는데 같이 본 남자친구한테 미안하더라 ,0
16194013,와! 로봇 정말 최고인걸? ,1
16194012,두 배우의 연기가  정말 몰입하게 만드네요. 좋았습니다. ,1
16194011,기대없이 가서 편하게 웃고 울다 왔네용 ,1
16194010,생각보다 류승범의 비중이 아주 적음.. 조연급? ,1
16194009,초등학교2학년때 마지막 장면보고 무서워서 한동안 얼음처럼 있었던 그기억 아직도 생생합니다. ,1
16194008,마땅히 볼 영화가 없어 봤는데 우주에 관한것엔 관심이 없어 그런지 영화도 재미난줄 몰랐네요. 30여분 빨리 나와버려 끝이 어땠는지는 모르겠어요 ,1
16194007,"개를 키워본사람은 개가 다른 모습으로 돌아온다는걸 압니다,정말 잘만든 애견영화에요 추천합니다 ",1
16194006,동석이 형님 액션신이 재미있던 영화입니당 ,1
16194005,개쌉노잼. 영화1도 모르는 급식이 봐도 개연성 ㅆㅎㅌㅊ인걸 느낄 수 있었음. 정해인 얼굴로도 커버 불가. 역시 영화리뷰는 믿을 수 없다는걸 메이즈러너3이후로 다시 느낌 ,0
16194004,솔직히 정말 재밌게 봤습니다 ,1
16194003,나쁜영화는 아닌데  각 인물들 감정선이 너무 많고 복잡해서  어려웠던 영화 . 사실 좀더SF 적인 걸원했는데...그래비티 + 퍼스트맨 섞은듯. 한번번 가지고는 영화 전체를 볼수 없는 그런영화 ,1
16194002,영화 자체만 보면 볼만하고 재미있는데 타짜 1이 넘사벽이라 비교 많이 당하는듯;; 중간에 잠잤다고 욕하는 사람들은 이해 안감 그 정도 아니고 타짜 1과 끊임없이 비교하지말고 그냥 보면 재미있음 ^^ ,1
16194001,절대 심야시간에는 보지 마시길...기억나는거 영화 시작 브래드 핏트 얼굴 중간에 한번 깸 개코 원숭이 터지는 장면 우주 해적들과의 추격전 그리고 마지막 브래드 피트 형 얼굴뿐.... ,0
16194000,"이제 무서워서 못 살겟네,,ㅜㅜ ",1
16193999,개연성 부실... 왜 이런장면이 나오지?라는 생각이 너무 많이남.. 캐릭터도 설득력이 없음 ,0
16193998,긴장감과 스릴있어요 두 주인공들 연기도 좋아서 재밌게 봤어요 ,1
16193997,아름답고 슬픈 시... 가슴이 아려오는 결말 ㅠ ,1
16193996,재미있게 잘봤습니다^^ ,1
16193995,제발 님들아.. 한국영화의 발전을 조금이라도 생각하신다면 평점 제대로 다세요. 평점은 인기 배우순으로 점수를 주면 안됩니다. ,0
16193994,퍼스트맨으로 실망한 우주영화 애드 아스트라로 만회하네요. 처음 타워에서 서지로인해 추락하는 장면과 중간중간 볼거리가 있어 지루할 틈이 없네요. 개인적으로 인터스텔라보다 더 재미있게 보았네요. 타미리존스 많이 늙었네요.인류에게 해끼칠의도는절대아님! ,1
16193993,진짜 병맛이네요 ㅅㅂ황당하네 ,0
16193992,오늘 밤 유난히 달이 밝아 보인다. ,1
16193991,반전이 잇것지 중간중간 안잘려고 노력한 내 노력이 헛수고 ,0
16193990,몽환적인 분위기에 잔잔한 영화 재미있게 봤어요 ,1
16193989,서사 내의 불필요와 불협화음이 꽤나 잦다 ,1
16193988,"퍼스트맨과 비슷함(영화 전체적으로 정적이며, 조용하다. 주인공의 고뇌를 잘 표현. 영화가 주는 메세지가 확실함. 다만 흥행적인 요소는 거의 없다. 긴박감이나 긴장감은 거의 없다.그래서 흥행하기에는 무리가 있다. 단순한 오락거리로 영화를 본다면 실망) ",1
16193987,"15세로 바뀌고나서 드라마에서 느껴지는 분위기도 사라지고, 또한 드라마에서 나오는 배우들만 그대로 썼었으면 좋았을 텐데ㅠㅠ 물온 강예원님은 다른 배우로 바꾸고;; ",0
16193986,우리는 존재 자체로 하나의 작은 우주임을서로의 눈에 비친 눈동자가 가장 빛나는 별임을 ,1
16193985,좀 어렵고 혼란스럽지만 감동이 있는 영화 ,1
16193982,노래만 좋았다. 노래때문에 7점. ,1
16193981,꿀잼ㅜㅜㅜ 페미언니들 테러하지뭬요 ,1
16193980,잤다는놈들의 인생영화는 마동석유머 영화겠지. 비방할걸해라. 기생충 만도 못한 모자란 것들아. ,1
16193979,애증의 관계인 두 빡빡이의 유쾌함 ,1
16193976,차라리 마지막에 고백하기전에 무대위에서 렛잇비 풀버전으로 불러줬더라면 명장면이 됐을지도 모르지.. 안타깝다.. 마지막 엔딩크래딧을 제외하곤 전부 중간에 끊어버리는 명곡들.. ,0
